distancia_atual;distancia_anterior;temperatura;umidade;vento;insolacao;evaporacao;chuva;datahora
256.00;133.00;15.30;56.00;8.10;0.10;0.60;58.40;18/03/2024 12:28
112.00;256.00;22.60;48.60;8.00;0.90;0.20;43.50;04/01/2023 06:31
60.00;112.00;20.00;51.00;0.90;9.00;6.80;0.00;06/05/2021 21:57
250.00;60.00;30.00;45.20;14.40;0.60;0.80;77.10;17/07/2022 17:20
165.00;250.00;22.90;88.00;2.50;6.10;2.40;1.50;10/08/2020 09:46
249.00;165.00;15.70;53.20;2.30;2.70;1.70;8.40;25/12/2023 08:54
259.00;249.00;26.50;51.80;3.80;2.00;2.80;7.40;10/04/2023 01:01
177.00;259.00;32.60;59.20;1.60;8.80;5.30;0.00;20/04/2022 12:16
243.00;177.00;19.10;62.20;2.50;8.50;3.10;0.10;28/08/2024 16:17
252.00;243.00;21.10;61.90;14.20;0.30;0.70;99.30;05/12/2020 19:59
249.00;252.00;17.20;89.80;8.80;0.10;0.70;66.20;30/12/2020 23:08
195.00;249.00;22.40;59.50;14.20;0.10;0.00;79.70;04/05/2021 08:09
193.00;195.00;20.50;69.60;9.10;1.70;0.60;10.00;18/10/2024 23:25
202.00;193.00;30.30;88.40;1.00;10.70;6.60;0.00;28/02/2024 07:47
251.00;202.00;29.20;94.40;12.20;0.40;0.90;104.70;17/08/2022 23:46
77.00;251.00;15.50;56.50;2.00;5.10;1.70;8.70;28/07/2020 14:50
246.00;77.00;31.90;42.40;2.00;6.90;3.20;1.60;13/02/2025 14:52
90.00;246.00;30.80;44.10;2.60;9.90;2.70;0.50;31/12/2022 17:58
172.00;90.00;21.30;70.40;8.90;1.50;1.50;41.00;02/08/2020 11:38
191.00;172.00;15.30;31.60;3.40;3.40;1.40;8.80;29/09/2020 23:41
158.00;191.00;34.50;84.10;3.50;4.60;1.60;4.40;06/04/2023 23:55
207.00;158.00;34.50;65.40;5.80;1.50;1.00;35.60;08/01/2022 02:24
217.00;207.00;18.50;73.70;5.20;1.90;0.90;20.30;14/04/2021 16:51
59.00;217.00;24.90;39.50;1.90;10.40;5.70;0.00;05/09/2020 10:17
237.00;59.00;32.00;56.50;3.60;2.30;2.30;5.80;12/08/2020 14:25
253.00;237.00;18.10;81.50;1.80;8.60;4.80;0.00;19/09/2022 19:07
170.00;253.00;23.10;33.80;7.40;0.90;1.90;28.00;19/06/2023 23:16
185.00;170.00;16.70;45.00;1.10;8.90;4.80;0.00;21/03/2025 01:58
209.00;185.00;15.40;83.00;2.30;6.30;3.20;1.30;07/02/2020 14:26
287.00;209.00;20.00;39.50;2.00;6.00;3.60;0.90;04/01/2021 12:00
182.00;287.00;16.80;66.60;1.60;9.70;5.90;0.00;07/02/2023 09:51
91.00;182.00;18.60;55.70;9.70;0.60;0.30;144.50;16/02/2021 20:00
243.00;91.00;26.20;60.30;2.50;8.00;2.30;1.70;05/11/2024 07:40
245.00;243.00;22.30;44.10;2.90;9.50;2.90;1.00;03/04/2022 14:55
154.00;245.00;20.90;51.70;17.50;0.30;0.00;136.00;05/10/2021 05:59
139.00;154.00;20.80;81.10;0.50;11.50;6.10;0.00;14/04/2022 19:30
159.00;139.00;25.30;35.50;11.00;0.60;0.50;79.30;25/01/2023 01:29
152.00;159.00;24.80;94.10;0.60;10.80;4.40;0.00;08/09/2022 23:06
245.00;152.00;21.20;67.20;4.70;0.20;1.00;44.20;02/10/2023 04:29
241.00;245.00;28.20;85.00;1.30;10.70;5.10;0.00;25/10/2020 15:06
203.00;241.00;28.30;68.00;3.40;5.10;1.20;4.00;10/03/2021 07:23
60.00;203.00;27.50;73.70;3.30;3.70;2.80;9.00;16/10/2020 18:04
285.00;60.00;18.10;30.80;1.00;7.90;4.20;0.30;03/10/2020 00:07
278.00;285.00;19.60;67.60;1.00;9.60;4.20;0.00;12/09/2020 12:46
175.00;278.00;31.50;90.00;7.20;2.70;0.90;37.10;10/05/2022 09:05
297.00;175.00;18.70;68.60;11.00;0.50;0.70;129.40;24/03/2025 13:54
126.00;297.00;20.90;65.60;6.80;2.30;0.70;25.20;07/08/2020 06:16
93.00;126.00;29.30;39.10;3.40;3.50;2.80;2.70;05/01/2022 05:45
144.00;93.00;34.00;84.90;2.10;6.90;4.80;0.90;30/05/2021 05:10
274.00;144.00;18.80;49.50;1.10;11.40;6.50;0.00;27/08/2020 00:38
97.00;274.00;15.30;89.80;1.40;6.20;2.70;1.20;09/05/2024 18:38
200.00;97.00;22.00;45.60;1.30;9.70;2.70;0.20;25/12/2020 20:42
281.00;200.00;34.60;38.80;7.70;2.10;1.00;40.80;03/11/2020 01:07
141.00;281.00;18.90;38.50;1.70;8.50;2.90;1.60;28/09/2022 01:44
200.00;141.00;33.30;90.30;1.90;8.00;4.40;0.00;26/10/2023 14:56
194.00;200.00;25.00;91.40;4.50;2.70;0.70;40.80;15/07/2021 09:34
222.00;194.00;34.80;65.20;2.00;2.20;2.70;7.70;21/10/2023 11:59
246.00;222.00;27.80;86.40;5.10;2.80;1.30;26.40;04/12/2022 06:50
225.00;246.00;34.70;61.70;0.50;9.60;4.70;0.00;04/03/2021 18:05
132.00;225.00;34.40;62.50;0.80;8.60;5.00;0.00;08/12/2024 12:36
204.00;132.00;28.70;86.70;14.30;0.00;0.80;86.00;21/01/2022 15:26
156.00;204.00;24.30;65.70;0.90;9.80;4.20;0.00;05/02/2024 07:30
175.00;156.00;23.80;57.60;4.60;0.80;0.00;22.00;24/04/2021 15:43
128.00;175.00;33.30;88.90;0.70;9.20;6.40;0.00;02/02/2025 17:33
105.00;128.00;22.20;35.70;9.10;0.40;0.30;53.10;06/05/2023 06:09
285.00;105.00;31.30;42.30;2.60;5.50;1.60;3.10;11/03/2020 11:06
97.00;285.00;25.20;74.90;3.00;4.30;1.40;2.00;07/04/2020 15:15
70.00;97.00;33.40;88.90;5.90;2.10;0.80;20.50;10/10/2021 13:03
127.00;70.00;17.70;53.20;1.00;9.20;6.60;0.00;17/03/2022 16:32
147.00;127.00;25.20;51.90;5.70;1.10;1.60;11.30;20/11/2020 01:13
218.00;147.00;21.80;68.80;19.50;0.40;0.70;98.00;08/07/2023 08:09
207.00;218.00;34.40;30.00;2.80;9.10;2.90;1.20;28/03/2023 09:27
180.00;207.00;25.90;40.40;5.80;2.80;0.30;11.40;05/08/2021 12:00
64.00;180.00;19.30;75.70;1.60;6.60;3.80;1.10;15/02/2020 08:43
282.00;64.00;23.70;94.10;2.30;6.50;2.20;1.10;11/06/2023 05:06
294.00;282.00;30.00;88.40;0.90;8.10;4.00;0.00;19/10/2024 12:57
115.00;294.00;28.00;36.30;1.80;10.90;5.50;0.00;26/09/2021 08:53
172.00;115.00;22.50;30.00;19.70;0.10;0.20;149.50;10/04/2020 11:18
203.00;172.00;20.20;51.40;1.60;8.50;5.40;0.00;04/01/2023 00:25
234.00;203.00;30.90;65.10;3.70;3.60;1.90;6.70;17/01/2021 20:29
136.00;234.00;25.30;86.60;3.40;4.20;2.10;9.50;07/10/2023 06:58
161.00;136.00;17.30;71.10;3.90;5.10;2.80;4.10;27/08/2024 09:12
298.00;161.00;34.40;71.50;2.30;8.30;2.00;0.50;29/05/2022 10:04
56.00;298.00;18.40;75.00;1.10;6.10;2.10;1.30;11/10/2020 23:38
279.00;56.00;16.80;42.30;8.30;2.30;0.20;36.60;27/12/2024 19:43
206.00;279.00;27.10;48.50;0.90;9.80;6.30;0.00;12/11/2022 11:04
284.00;206.00;27.30;71.10;1.40;11.70;4.90;0.00;18/12/2021 13:24
53.00;284.00;17.80;64.10;1.50;9.00;5.60;0.00;29/06/2023 03:04
287.00;53.00;15.70;37.70;3.20;2.80;1.10;7.10;20/11/2022 00:01
145.00;287.00;16.60;43.60;1.10;6.10;2.80;0.20;02/09/2020 23:11
157.00;145.00;34.10;77.60;1.10;7.00;4.80;1.80;12/01/2022 00:51
148.00;157.00;19.20;68.90;1.40;7.50;2.20;1.00;01/08/2022 21:06
255.00;148.00;34.10;91.90;3.40;4.20;2.30;3.90;15/09/2023 13:09
243.00;255.00;17.00;71.60;9.70;0.10;0.40;18.60;20/12/2020 17:31
120.00;243.00;30.50;40.40;13.00;0.40;0.90;140.80;08/02/2021 16:34
61.00;120.00;27.10;78.90;9.10;1.50;1.50;35.10;08/12/2023 10:31
220.00;61.00;22.40;93.20;17.20;0.40;0.30;83.10;30/09/2022 21:46
200.00;220.00;16.80;31.30;8.20;0.90;0.00;129.00;07/02/2024 07:11
278.00;200.00;18.80;71.40;8.70;0.20;0.40;131.70;10/04/2024 04:45
206.00;278.00;17.40;65.50;2.60;2.10;1.10;8.70;11/07/2022 20:07
160.00;206.00;28.00;83.30;8.80;2.30;0.30;21.30;17/05/2020 22:38
130.00;160.00;33.40;46.10;7.60;0.70;1.40;39.30;19/02/2024 20:12
240.00;130.00;22.50;36.70;1.30;10.20;6.00;0.00;11/07/2024 00:14
250.00;240.00;25.80;52.80;14.20;0.30;0.30;143.30;25/01/2020 15:36
120.00;250.00;27.90;51.80;1.20;11.40;4.40;0.00;21/02/2023 22:27
265.00;120.00;23.40;65.80;7.50;1.10;1.10;10.30;19/03/2024 13:13
86.00;265.00;26.80;66.20;1.60;6.60;2.70;0.70;09/11/2023 20:53
181.00;86.00;25.00;91.60;1.30;9.20;3.40;1.80;01/04/2025 20:54
160.00;181.00;34.80;93.50;5.90;1.00;0.00;33.10;10/07/2021 22:34
275.00;160.00;25.80;40.80;1.40;6.30;2.70;1.60;02/03/2020 00:32
171.00;275.00;20.90;42.30;10.60;0.30;0.00;71.80;26/02/2025 21:09
242.00;171.00;25.00;65.30;2.70;4.20;2.10;2.20;13/10/2023 20:38
211.00;242.00;20.70;35.70;13.90;0.70;0.70;88.70;06/04/2020 19:28
95.00;211.00;33.10;86.80;14.40;0.60;0.00;131.50;27/03/2021 15:25
211.00;95.00;20.30;72.50;8.90;0.80;0.10;67.10;23/08/2021 11:24
179.00;211.00;26.00;79.70;4.90;1.70;0.80;23.10;13/09/2020 10:34
195.00;179.00;16.30;31.20;17.80;0.10;0.20;55.60;10/07/2022 07:27
159.00;195.00;31.50;73.70;19.90;0.40;0.00;74.70;08/01/2023 04:37
232.00;159.00;33.60;89.90;6.90;2.80;1.50;17.30;19/03/2023 08:44
202.00;232.00;20.00;63.70;3.90;5.30;1.90;3.50;12/07/2022 03:55
143.00;202.00;25.80;65.10;10.20;0.50;0.80;76.20;23/07/2024 04:48
251.00;143.00;19.80;73.50;1.50;10.80;4.60;0.00;04/11/2022 12:17
130.00;251.00;23.20;81.00;3.90;2.80;2.00;2.40;25/10/2021 18:54
98.00;130.00;22.90;94.90;1.50;9.10;5.20;0.00;21/06/2021 09:17
85.00;98.00;16.60;93.60;9.20;0.40;0.10;64.60;23/04/2023 15:44
252.00;85.00;23.00;55.10;0.50;9.40;6.30;0.00;20/06/2020 09:17
79.00;252.00;22.10;31.80;1.10;10.30;4.70;0.00;05/01/2021 14:39
261.00;79.00;23.50;71.50;5.20;1.10;0.80;35.00;13/11/2024 06:36
285.00;261.00;18.60;72.40;1.00;8.80;3.10;1.20;27/09/2022 21:14
229.00;285.00;16.50;77.50;4.00;2.50;1.70;18.90;22/01/2025 19:03
75.00;229.00;21.00;60.00;2.40;9.10;4.20;0.10;25/02/2024 08:10
57.00;75.00;28.30;67.90;8.90;0.90;0.80;14.30;25/01/2021 23:45
106.00;57.00;30.40;34.30;1.50;9.20;5.70;0.00;03/08/2022 18:27
248.00;106.00;27.60;93.80;8.70;0.30;0.20;68.20;11/11/2024 10:28
265.00;248.00;23.50;38.20;9.10;2.60;0.50;28.20;28/07/2022 20:45
167.00;265.00;30.90;30.60;9.50;2.00;1.70;28.30;12/10/2021 17:13
282.00;167.00;25.80;48.20;2.90;5.70;2.90;7.40;03/06/2022 08:38
108.00;282.00;17.20;48.60;1.00;9.20;2.30;0.70;29/01/2022 22:56
72.00;108.00;15.70;55.00;3.50;5.20;1.80;5.30;17/06/2024 13:21
54.00;72.00;27.50;87.40;0.80;8.40;6.40;0.00;19/05/2020 00:07
195.00;54.00;17.10;35.30;1.30;9.40;5.10;0.00;17/10/2023 04:46
57.00;195.00;24.70;50.90;3.80;5.10;2.50;8.60;05/03/2021 18:52
293.00;57.00;28.10;40.70;2.00;6.50;3.50;0.40;20/07/2024 08:43
167.00;293.00;34.20;81.60;3.20;5.90;1.50;3.10;16/01/2020 18:58
154.00;167.00;25.80;47.50;6.70;0.20;0.30;21.90;07/02/2022 23:52
186.00;154.00;21.50;36.40;10.10;0.40;0.50;127.10;22/09/2020 08:52
128.00;186.00;23.10;66.90;16.30;0.80;0.00;93.90;15/07/2020 08:44
94.00;128.00;32.00;65.50;17.60;0.80;0.70;65.90;21/05/2023 15:23
249.00;94.00;30.10;90.40;1.70;10.40;5.10;0.00;22/02/2024 05:37
124.00;249.00;18.70;55.20;1.60;8.40;4.70;0.30;21/06/2023 04:53
124.00;124.00;32.20;45.70;3.50;2.30;2.50;6.40;02/07/2022 14:23
264.00;124.00;29.70;84.00;1.80;11.50;4.40;0.00;21/03/2022 22:05
158.00;264.00;25.50;48.70;7.30;1.60;1.60;40.90;15/11/2020 14:21
208.00;158.00;34.80;47.40;5.00;1.60;0.10;48.10;08/05/2022 08:38
201.00;208.00;17.80;39.60;8.00;1.90;1.50;34.20;18/11/2023 18:19
137.00;201.00;17.10;35.40;1.40;9.00;2.00;0.90;14/11/2023 18:28
105.00;137.00;29.10;66.90;1.40;8.80;2.10;0.60;18/06/2024 21:04
122.00;105.00;33.00;39.80;0.80;10.30;4.70;0.00;15/01/2022 19:25
115.00;122.00;18.60;81.10;6.10;2.10;1.00;33.20;21/02/2020 09:36
219.00;115.00;30.80;42.20;1.10;8.10;4.50;0.00;05/01/2024 17:32
271.00;219.00;24.30;83.10;3.00;5.30;1.60;4.60;15/11/2023 16:23
76.00;271.00;16.90;49.50;0.70;11.60;5.50;0.00;29/12/2022 03:25
111.00;76.00;26.30;51.80;1.80;6.70;4.60;0.90;29/10/2022 19:03
126.00;111.00;30.40;62.20;3.80;3.90;2.60;3.40;24/11/2020 09:44
91.00;126.00;26.80;39.20;17.50;0.90;0.90;127.40;09/03/2021 02:06
61.00;91.00;28.70;69.90;1.50;11.30;6.80;0.00;28/04/2020 17:14
151.00;61.00;19.80;38.20;9.70;2.00;0.70;13.40;11/10/2024 22:18
66.00;151.00;33.30;79.80;1.70;9.50;6.70;0.00;29/06/2021 06:59
60.00;66.00;25.50;69.40;14.60;0.60;0.90;94.20;02/03/2024 22:44
285.00;60.00;34.30;56.60;3.00;5.90;1.70;9.40;30/04/2022 23:49
201.00;285.00;25.10;54.30;15.60;0.10;0.50;122.80;31/07/2023 13:07
78.00;201.00;34.70;70.90;3.50;4.60;1.90;2.40;31/01/2021 01:30
270.00;78.00;24.80;63.00;2.00;3.80;1.60;2.80;23/06/2020 09:05
79.00;270.00;30.20;51.70;2.40;3.80;1.70;4.70;19/03/2022 10:08
52.00;79.00;17.40;30.70;2.00;4.40;1.50;4.80;05/05/2024 23:45
111.00;52.00;25.90;81.50;8.30;2.00;1.20;43.40;06/01/2023 08:33
274.00;111.00;28.50;66.80;2.00;9.20;3.60;0.60;11/05/2024 14:42
74.00;274.00;32.70;71.00;6.00;2.60;0.30;19.90;08/07/2022 02:59
196.00;74.00;28.00;67.70;13.20;0.10;0.40;141.70;01/06/2021 08:32
188.00;196.00;15.70;51.10;1.10;7.80;2.90;1.20;09/11/2020 17:22
186.00;188.00;22.10;45.20;8.80;1.70;0.90;15.10;04/09/2021 04:40
213.00;186.00;18.50;79.10;1.70;11.30;6.30;0.00;04/08/2023 22:40
93.00;213.00;34.30;70.30;1.10;10.30;4.60;0.00;12/03/2022 22:45
194.00;93.00;31.40;81.00;12.70;0.30;0.00;124.40;29/12/2023 04:26
246.00;194.00;16.30;61.40;19.50;0.20;0.80;148.90;05/06/2022 13:04
267.00;246.00;25.70;75.70;1.10;11.70;5.20;0.00;10/01/2022 20:54
262.00;267.00;24.70;73.00;2.90;2.80;2.60;4.20;07/09/2023 05:37
109.00;262.00;24.20;56.60;2.70;9.60;4.20;1.70;31/03/2024 23:57
264.00;109.00;30.90;57.80;8.00;0.60;1.10;37.50;15/12/2024 14:31
276.00;264.00;33.70;91.10;2.60;4.80;1.00;2.50;31/07/2022 15:27
183.00;276.00;29.90;55.70;2.40;3.60;1.80;3.90;12/10/2023 11:36
135.00;183.00;31.90;54.10;8.10;1.10;1.60;32.30;02/06/2020 09:12
121.00;135.00;30.50;71.90;3.70;4.60;2.80;4.80;26/10/2024 00:37
117.00;121.00;25.40;44.50;18.60;0.20;0.70;84.20;09/03/2024 10:30
243.00;117.00;19.00;80.50;2.50;3.20;2.40;5.60;12/12/2023 11:22
65.00;243.00;16.00;49.30;17.80;0.30;0.80;87.50;17/04/2021 00:53
134.00;65.00;25.00;85.90;18.30;0.70;0.40;113.00;24/12/2023 00:27
64.00;134.00;30.90;91.00;3.40;2.70;2.00;6.80;19/02/2022 23:03
124.00;64.00;25.00;48.40;1.30;8.10;4.10;0.40;31/10/2020 06:36
269.00;124.00;22.20;34.70;1.20;9.60;2.10;1.20;26/03/2024 05:34
195.00;269.00;22.10;70.70;0.80;11.60;6.10;0.00;10/09/2021 06:40
280.00;195.00;17.40;91.40;2.10;4.90;2.20;7.60;25/10/2020 22:52
90.00;280.00;22.80;35.20;4.90;0.30;1.60;20.70;11/04/2023 01:38
59.00;90.00;18.70;30.70;3.50;2.00;2.70;3.30;24/03/2024 00:02
147.00;59.00;16.50;54.70;6.90;1.00;0.00;40.00;20/02/2025 15:30
61.00;147.00;15.20;71.90;2.90;4.90;1.50;6.90;03/11/2024 18:17
248.00;61.00;32.50;52.70;1.20;10.20;6.10;0.00;13/05/2024 09:04
186.00;248.00;29.20;52.50;3.30;2.30;2.80;5.40;01/08/2023 00:19
138.00;186.00;17.60;36.90;2.90;9.60;2.80;0.30;20/11/2021 01:11
69.00;138.00;32.50;90.90;1.80;6.10;4.00;1.90;25/01/2020 21:42
232.00;69.00;29.00;83.40;9.00;2.00;1.00;25.20;15/01/2020 10:22
168.00;232.00;17.10;31.60;1.80;9.10;4.80;0.00;29/08/2023 01:56
257.00;168.00;31.00;54.70;3.20;5.90;1.50;4.90;06/10/2024 07:25
148.00;257.00;17.70;49.50;6.10;2.20;0.50;15.70;06/01/2024 16:48
260.00;148.00;17.60;92.10;4.50;0.80;0.60;11.60;04/03/2024 11:31
276.00;260.00;29.30;30.40;6.90;0.80;1.70;31.00;21/03/2020 14:06
233.00;276.00;31.00;60.20;4.60;2.50;1.60;18.00;09/01/2021 14:58
296.00;233.00;19.00;62.70;12.80;0.80;0.00;133.40;07/07/2021 23:30
237.00;296.00;24.40;93.00;2.30;8.10;3.80;0.50;06/09/2024 18:59
123.00;237.00;15.20;65.10;14.50;0.30;0.20;50.20;07/03/2020 06:24
175.00;123.00;23.40;87.30;8.80;0.00;1.00;40.40;18/05/2024 13:34
237.00;175.00;28.90;76.10;2.90;7.80;3.20;0.80;01/12/2020 04:54
175.00;237.00;25.20;61.50;5.30;1.10;0.30;18.90;02/08/2022 11:43
222.00;175.00;24.80;79.80;9.50;1.70;1.60;37.60;04/05/2024 18:25
239.00;222.00;16.90;39.40;3.80;2.80;1.00;3.90;22/12/2024 03:08
256.00;239.00;16.90;32.80;1.90;8.00;3.30;1.90;02/10/2020 04:43
52.00;256.00;32.80;55.10;2.50;8.90;3.80;1.00;14/01/2022 09:15
97.00;52.00;25.50;81.80;3.40;3.20;2.70;5.40;15/02/2021 12:56
73.00;97.00;28.00;54.80;2.20;6.10;3.80;1.90;21/05/2021 01:42
73.00;73.00;15.60;70.60;0.50;10.80;4.10;0.00;04/10/2020 14:08
235.00;73.00;32.10;40.30;9.70;0.80;0.40;93.40;06/08/2021 00:17
263.00;235.00;20.90;84.20;2.30;3.30;2.00;7.80;25/12/2021 03:20
192.00;263.00;26.00;35.10;3.60;5.50;2.90;4.30;08/02/2021 08:52
94.00;192.00;17.80;69.40;14.90;0.20;0.50;62.00;24/10/2021 20:46
251.00;94.00;28.00;33.40;2.00;7.90;3.30;0.60;09/06/2023 02:58
258.00;251.00;20.30;63.30;7.00;2.20;0.50;28.10;11/05/2022 14:15
158.00;258.00;31.50;74.10;1.00;8.70;3.80;0.50;01/07/2022 11:53
213.00;158.00;24.60;72.90;18.70;0.30;0.80;140.30;02/08/2023 03:19
250.00;213.00;24.40;80.10;6.20;1.80;0.20;14.50;27/01/2020 16:51
137.00;250.00;32.40;69.30;1.00;11.50;5.40;0.00;23/12/2020 05:45
244.00;137.00;25.30;49.60;1.50;8.20;6.00;0.00;28/05/2022 05:16
223.00;244.00;25.70;88.40;2.30;6.90;2.60;1.40;19/04/2023 00:40
134.00;223.00;31.70;83.10;2.90;2.30;2.60;5.00;06/10/2023 23:45
127.00;134.00;28.80;59.80;0.60;8.90;6.90;0.00;15/01/2022 06:15
166.00;127.00;24.70;40.40;1.00;8.50;5.60;0.00;20/04/2020 11:52
173.00;166.00;18.60;55.20;1.20;8.30;2.40;1.50;06/03/2024 11:32
286.00;173.00;33.40;70.50;3.80;4.90;2.80;7.00;06/12/2020 07:47
132.00;286.00;17.30;85.40;13.40;0.90;0.10;98.50;10/06/2023 10:22
86.00;132.00;24.80;79.20;8.70;0.80;0.50;64.10;15/03/2020 23:51
201.00;86.00;28.60;32.50;6.40;2.70;1.90;15.40;05/01/2024 09:49
286.00;201.00;24.90;91.60;15.70;0.00;0.00;102.50;16/03/2022 12:49
200.00;286.00;34.90;71.00;7.90;0.30;0.60;11.30;26/03/2021 03:38
87.00;200.00;21.20;78.20;1.10;6.00;3.80;1.00;20/02/2023 01:10
260.00;87.00;18.80;76.70;1.70;6.70;4.70;1.40;20/11/2024 15:51
103.00;260.00;29.80;52.10;1.80;7.30;4.20;0.70;22/12/2020 00:57
91.00;1.99;31.80;46.90;0.60;9.50;5.90;0.00;15/07/2020 11:18
201.00;91.00;26.10;42.30;1.10;9.20;2.90;1.20;21/09/2024 10:48
84.00;201.00;25.80;44.70;15.40;0.80;0.30;123.40;18/08/2024 12:23
283.00;84.00;18.30;66.60;0.50;8.60;6.80;0.00;03/03/2021 10:06
232.00;283.00;19.00;52.10;9.40;0.40;0.50;34.30;25/08/2023 00:23
196.00;232.00;31.50;54.10;14.30;0.70;0.40;76.10;14/11/2021 17:30
122.00;196.00;22.70;69.70;11.30;0.40;0.60;84.80;20/10/2023 17:13
247.00;122.00;27.80;77.80;1.60;6.60;4.50;0.70;22/05/2022 13:05
239.00;247.00;15.40;71.00;2.60;7.20;4.40;0.50;15/06/2023 07:41
218.00;239.00;21.40;79.40;1.50;11.40;5.80;0.00;19/09/2022 12:04
147.00;218.00;17.90;43.00;0.50;8.90;6.10;0.00;15/08/2020 06:40
157.00;147.00;25.00;58.20;0.90;9.50;6.60;0.00;31/10/2022 00:59
57.00;157.00;19.60;60.80;3.20;3.10;2.30;9.50;06/09/2022 09:31
68.00;57.00;23.30;86.30;1.00;11.40;5.10;0.00;16/11/2022 01:17
110.00;68.00;18.00;83.20;2.60;8.60;3.60;1.10;21/12/2024 23:31
149.00;110.00;30.30;90.20;1.70;8.30;5.70;0.00;31/10/2022 11:05
208.00;149.00;23.20;72.80;12.50;0.60;0.70;71.70;25/02/2025 23:21
115.00;208.00;34.80;74.10;2.70;6.10;2.50;1.50;15/11/2023 13:11
70.00;115.00;20.40;80.10;19.00;0.40;0.10;55.50;05/10/2024 13:51
172.00;70.00;26.40;62.20;18.50;0.90;0.30;109.50;03/03/2023 23:11
134.00;172.00;21.60;54.50;18.70;0.60;0.80;92.40;22/07/2023 20:56
52.00;134.00;17.90;73.20;3.60;4.10;2.00;8.30;08/05/2023 23:19
174.00;52.00;19.60;37.30;2.90;5.60;1.40;4.30;13/10/2021 22:48
83.00;174.00;24.30;43.60;0.60;9.30;4.10;0.00;06/03/2025 16:28
85.00;83.00;28.70;48.90;2.40;3.50;2.10;6.20;03/04/2020 22:59
146.00;85.00;16.80;69.90;1.00;7.70;3.00;0.50;08/05/2023 00:56
205.00;146.00;28.30;32.90;16.40;0.40;0.10;97.40;19/03/2021 11:12
174.00;205.00;21.90;94.30;9.00;1.00;0.10;39.10;30/10/2024 12:29
294.00;174.00;25.70;76.90;8.80;1.70;0.60;41.40;27/10/2020 22:24
134.00;294.00;23.40;93.00;2.20;6.50;2.50;1.60;17/10/2020 23:40
231.00;134.00;33.20;83.90;1.80;10.40;4.90;0.00;25/10/2020 23:47
188.00;231.00;25.60;93.40;3.60;5.40;2.70;9.10;11/07/2021 10:45
75.00;188.00;32.30;34.50;1.20;9.90;4.10;0.00;09/09/2023 17:36
76.00;75.00;33.40;60.00;3.20;5.70;2.10;2.20;26/10/2021 05:40
194.00;76.00;33.90;87.00;18.70;0.60;0.10;143.40;20/06/2020 18:19
111.00;194.00;24.90;40.70;16.00;0.50;0.90;98.40;03/11/2024 19:40
228.00;111.00;33.10;94.30;2.60;3.90;2.70;3.70;30/08/2023 13:38
64.00;228.00;16.80;52.00;1.90;9.60;5.80;0.00;09/12/2021 07:23
153.00;64.00;31.90;93.80;1.80;8.00;5.50;0.00;23/10/2024 03:07
213.00;153.00;21.90;92.50;6.50;1.80;0.90;17.90;17/12/2024 23:48
273.00;213.00;20.10;32.20;2.90;9.80;2.50;1.80;26/10/2022 19:24
213.00;273.00;22.00;48.70;0.70;8.60;5.60;0.00;20/10/2021 02:07
68.00;213.00;17.50;36.30;2.80;9.00;3.10;1.30;25/03/2024 21:23
81.00;68.00;20.30;65.20;2.10;6.60;4.80;1.70;27/11/2021 22:37
278.00;81.00;26.30;92.40;0.60;9.10;5.00;0.00;28/01/2021 18:35
207.00;278.00;22.50;42.30;1.40;8.60;4.50;1.40;26/11/2020 18:39
68.00;207.00;17.90;77.50;6.60;2.10;1.70;37.10;15/06/2024 17:21
297.00;68.00;25.10;35.10;11.10;0.80;0.00;106.60;30/03/2023 18:25
136.00;297.00;24.80;30.00;2.30;6.80;3.70;1.60;07/03/2022 13:14
195.00;136.00;33.70;66.60;2.10;3.00;1.80;4.90;31/05/2023 14:49
59.00;195.00;18.20;58.80;1.60;10.60;4.50;0.00;18/11/2022 11:18
272.00;59.00;16.10;91.40;8.10;1.90;1.20;46.40;22/11/2020 00:42
206.00;272.00;15.60;68.60;10.80;0.40;0.70;124.40;31/05/2024 13:18
117.00;206.00;15.90;52.90;3.40;3.20;2.20;3.10;30/06/2022 00:30
242.00;117.00;18.70;52.30;1.10;10.30;4.70;0.00;09/04/2024 19:48
244.00;242.00;15.90;51.40;10.80;0.90;0.80;69.10;17/08/2021 07:07
91.00;244.00;22.00;59.70;13.50;0.30;0.40;64.00;29/11/2021 07:34
217.00;91.00;21.60;87.90;1.10;11.10;6.10;0.00;19/11/2022 08:19
212.00;217.00;33.80;67.10;1.00;9.30;2.30;0.20;11/11/2023 17:30
183.00;212.00;23.50;33.50;12.50;0.50;0.20;56.90;15/06/2022 00:45
279.00;183.00;16.10;42.10;1.80;6.00;4.70;1.60;30/04/2022 02:56
164.00;279.00;21.50;61.70;2.40;7.90;3.60;0.40;02/10/2023 16:14
134.00;164.00;19.50;92.40;1.30;6.40;4.80;0.30;17/08/2024 21:55
84.00;134.00;16.90;87.50;9.40;2.20;1.30;12.80;30/06/2024 16:13
218.00;84.00;25.20;69.90;8.20;2.20;1.90;26.90;12/10/2024 08:09
149.00;218.00;29.60;86.60;18.10;0.10;0.10;53.70;17/10/2024 23:53
267.00;149.00;16.40;80.10;13.50;0.00;0.50;53.50;03/02/2021 18:43
154.00;267.00;28.70;37.70;3.70;4.80;2.00;5.10;26/06/2023 17:52
258.00;154.00;33.80;50.70;0.80;10.20;6.90;0.00;26/04/2022 01:04
