Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(Â°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(Â°C);TEMPERATURA MINIMA, DIARIA(Â°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);UMIDADE DO SOLO ESTIMADA;MEDIA DIARIA DE VAZ�O
11/06/1966;2;6,6;0.0;27;18.3;12,6;71.3;49.0;0;0.0;76.1
12/06/1966;2,5;3,1;9.8;20,5;17.4;15,7;88.0;78.0;1,3;4.686.956.521.739.130;79.39
13/06/1966;0,6;0;0.8;19,2;17.2;15,4;92.5;89.0;0,7;4.065.934.065.934.060;76.37
14/06/1966;0,2;2,9;2.5;22,5;17.9;13,8;86.5;72.0;1;11.441.798.941.798.900;76.94
15/06/1966;1;4,1;22.3;21,3;16.8;15,2;84.8;70.0;3;10.623.820.224.719.100;83.59
16/06/1966;1,1;6,7;0.0;19,9;15.0;11,2;89.0;67.0;2;0.0;76.1
17/06/1966;1,1;0,2;15.0;19,3;16.6;14,9;91.3;87.0;0,7;778.125;81.14
18/06/1966;0,6;7,5;0.2;18,3;14.2;13,1;83.5;63.0;1,7;10.986.842.105.263.100;76.17
19/06/1966;1;8,3;0.0;19,7;13.1;8;84.0;64.0;0,3;0.0;76.1
20/06/1966;1;0,4;0.2;19,2;16.9;13,8;95.3;87.0;0;1.064.804.469.273.740;76.17
21/06/1966;0,3;7;4.9;28;20.7;15;74.3;58.0;0,7;1.677.741.935.483.870;77.75
22/06/1966;2,4;2,8;0.0;25,7;18.2;15,2;78.3;59.0;1;0.0;76.1
23/06/1966;1,8;4,7;11.7;15,8;12.6;11,6;77.3;67.0;2,3;6.650.073.529.411.760;80.03
24/06/1966;1,9;8,2;0.0;14,8;10.1;6,6;61.3;42.0;2,3;0.0;76.1
25/06/1966;2,1;7,9;0.0;18,5;10.2;3,8;73.8;44.0;0,7;0.0;76.1
26/06/1966;2;5,8;0.0;27,7;18.9;10,3;74.8;55.0;0,3;0.0;76.1
27/06/1966;1,3;3,7;3.6;24,5;20.9;17;84.0;81.0;1;13.808.219.178.082.100;77.31
28/06/1966;1;0;32.5;23,8;17.5;15;90.5;78.0;2;15.898.648.648.648.600;87.01
29/06/1966;0,9;0,7;16.2;15;11.0;9,6;74.5;68.0;1,3;10.057.499.999.999.900;81.54
30/06/1966;1,4;7,2;0.0;12,6;8.7;7,4;71.8;45.0;1,3;0.0;76.1
01/07/1966;1,4;8,3;0.0;15,8;7.6;1,9;75.3;45.0;0;0.0;76.1
02/07/1966;1,2;8,2;0.0;18,3;9.8;3,1;86.3;62.0;0,3;0.0;76.1
03/07/1966;0,7;5,5;0.0;17,7;12.7;8,4;92.3;79.0;0,3;0.0;76.1
04/07/1966;0,3;7,3;0.2;22,8;15.0;10,6;87.8;61.0;0;10.975;76.17
05/07/1966;0,7;7,7;0.2;24,4;16.0;10,3;82.0;64.0;0;0.9647058823529413;76.17
06/07/1966;1,1;8,2;0.0;24,4;16.2;10,6;83.8;55.0;0;0.0;76.1
07/07/1966;1,2;8,4;0.0;26,7;17.4;11,4;78.8;48.0;0,3;0.0;76.1
08/07/1966;1,5;8,2;0.0;26,1;17.9;13,2;83.5;58.0;0,3;0.0;76.1
09/07/1966;1,2;8,2;0.0;25,9;17.7;12,4;84.3;59.0;0;0.0;76.1
10/07/1966;1,3;7,7;0.0;27,1;18.6;12,9;76.5;51.0;0;0.0;76.1
11/07/1966;1,5;7,5;0.0;29,2;19.9;13,6;63.5;39.0;0,7;0.0;76.1
12/07/1966;3,7;8,4;0.0;30,3;23.0;16,4;62.8;47.0;0,7;0.0;76.1
13/07/1966;3,3;0;1.9;24,2;18.3;15,4;96.5;69.0;1;9.5;76.74
14/07/1966;0,4;0;33.0;17,8;16.2;14,6;97.5;96.0;1,3;1.870.639.534.883.720;87.18
15/07/1966;0,3;4,2;21.3;18,6;14.8;13,7;72.3;63.0;2;9.746.772.151.898.730;83.25
16/07/1966;2,9;1;0.0;15,6;13.3;11,8;84.0;67.0;8;0.0;76.1
17/07/1966;1,1;3,2;0.0;15,7;12.1;10,4;84.5;67.0;1;0.0;76.1
18/07/1966;0,8;3,6;0.0;18,2;15.3;11,8;90.3;82.0;0,7;0.0;76.1
19/07/1966;0,9;0,9;5.2;18,8;17.1;15,8;94.5;94.0;0,7;2.714.917.127.071.820;77.85
20/07/1966;0,3;0,2;11.1;19,4;16.8;14,8;89.8;77.0;1;55.998.876.404.494.300;79.83
21/07/1966;0,6;0;0.3;17,6;16.7;15,4;95.5;92.0;1;161.864.406.779.661;76.2
22/07/1966;0,4;0;29.2;20,1;14.5;11,8;92.8;92.0;1,7;1.748.232.258.064.510;85.9
23/07/1966;0,7;9,1;40.0;13,2;10.5;9,2;71.0;58.0;1,7;24.695.652.173.913.000;89.53
24/07/1966;1,8;9;0.0;11,7;7.5;4,5;65.3;43.0;1,3;0.0;76.1
25/07/1966;1,1;8,7;0.0;16;10.1;3,4;71.5;49.0;2;0.0;76.1
26/07/1966;1,6;0,5;0.0;17,9;14.0;9;80.5;77.0;1;0.0;76.1
27/07/1966;1;2,7;0.7;19,7;16.7;15,1;87.8;76.0;2;3.472.316.384.180.790;76.34
28/07/1966;0,8;5,9;0.3;26,4;17.5;12,9;79.3;52.0;1,3;1.285.945.945.945.940;76.2
29/07/1966;1,7;1,9;43.0;17;15.2;13,3;79.0;82.0;3,3;20.969.135.802.469.100;90.53
30/07/1966;2;3,8;8.8;16,3;13.4;12;69.8;57.0;10;4.265.555.555.555.550;79.06
31/07/1966;2,3;2,1;0.0;13,7;11.5;10,4;84.5;77.0;3;0.0;76.1
01/08/1966;1;7;0.4;14,7;10.6;9,2;78.3;59.0;2;2.7;76.24
02/08/1966;1,5;5,5;0.0;21;13.1;6,8;76.8;64.0;0,7;0.0;76.1
03/08/1966;1,4;0,1;8.0;18,5;15.7;13,6;95.8;81.0;1;4.589.221.556.886.220;78.79
04/08/1966;0,1;0;63.6;16,4;12.1;10,6;96.5;97.0;1,3;4.685.038.167.938.930;97.44
05/08/1966;0,5;0;51.4;10,6;8.2;6,9;85.0;89.0;4,7;4.748.913.043.478.260;93.35
06/08/1966;1,3;8;7.5;13,6;10.1;6,2;76.0;66.0;6;51.351.351.351.351.300;78.62
07/08/1966;1,7;9,1;0.0;15;9.8;5,5;83.3;61.0;0,7;0.0;76.1
08/08/1966;0,7;5,4;0.0;15,1;9.7;5,2;83.8;65.0;0;0.0;76.1
09/08/1966;0,8;8,5;0.0;14,2;9.1;4,4;84.0;59.0;1,3;0.0;76.1
10/08/1966;1;8,4;0.0;20,3;13.3;7,2;78.8;59.0;1,3;0.0;76.1
11/08/1966;1,5;8,3;0.0;21,5;15.3;10;85.3;70.0;1;0.0;76.1
12/08/1966;0,9;1,8;0.0;25,1;19.4;12,2;74.8;72.0;0,3;0.0;76.1
13/08/1966;1,6;6,4;0.0;31,4;19.6;16,3;73.8;41.0;0,7;0.0;76.1
14/08/1966;2,5;3,9;42.5;16,3;11.3;9,4;73.8;62.0;1,3;25.499.999.999.999.900;90.36
15/08/1966;1,4;9;0.0;14,9;10.4;6,4;69.5;51.0;1;0.0;76.1
16/08/1966;1,7;8,9;0.0;16,3;9.8;4,8;65.8;44.0;1;0.0;76.1
17/08/1966;1,6;8,3;0.0;17,7;11.0;5,2;79.3;61.0;1;0.0;76.1
18/08/1966;1,6;8,9;0.0;24;16.4;9,9;71.3;47.0;0,3;0.0;76.1
19/08/1966;2,1;5,2;0.0;21,8;17.6;15,9;79.0;65.0;1;0.0;76.1
20/08/1966;1,6;9,2;0.0;16,2;11.8;10,2;73.8;52.0;1;0.0;76.1
21/08/1966;1,9;6;0.0;18,7;14.3;10,3;82.8;64.0;1;0.0;76.1
22/08/1966;0,6;0;0.1;14,8;13.8;12,9;90.8;87.0;1;0.6135135135135135;76.14
23/08/1966;0,7;0;1.8;14,6;13.2;12,6;92.8;89.0;2;11.763.380.281.690.100;76.71
24/08/1966;0,6;9,1;12.7;16,7;13.2;10,9;75.5;58.0;2,3;6.752.464.788.732.390;80.36
25/08/1966;1,5;7,5;0.0;17,5;12.4;9,4;78.3;69.0;1,3;0.0;76.1
26/08/1966;1,2;8,7;0.0;19,4;12.7;7,6;75.5;49.0;3;0.0;76.1
27/08/1966;1,9;9,2;0.0;23,5;15.3;7,8;69.0;44.0;1,3;0.0;76.1
28/08/1966;2,2;4,3;0.0;23,8;17.5;13;78.5;56.0;0,3;0.0;76.1
29/08/1966;1,6;5,9;32.6;21,3;16.9;14,8;84.3;71.0;1,7;15.352.960.893.854.700;87.04
30/08/1966;0,8;8,4;1.3;21,4;16.4;11,7;79.5;61.0;2,7;59.396.551.724.137.900;76.54
31/08/1966;2,1;0,5;0.0;22,9;18.7;15,6;91.8;76.0;1,7;0.0;76.1
01/09/1966;0,2;0;45.2;18,4;12.8;10,3;75.0;66.0;2;24.565.217.391.304.300;91.27
02/09/1966;1,4;7,8;0.2;12,9;10.3;7,4;64.5;50.0;2,3;11.415.929.203.539.800;76.17
03/09/1966;1,8;0;0.2;14,1;12.4;9,4;91.5;68.0;1;13.656.716.417.910.400;76.17
04/09/1966;0,8;2,1;5.5;17,6;14.8;12,3;74.3;60.0;3;2.586.392.405.063.290;77.95
05/09/1966;1,8;9,6;0.0;23,9;18.1;14,2;75.5;58.0;3,7;0.0;76.1
06/09/1966;2,2;5,7;1.1;24,9;19.8;15,8;83.3;61.0;0,3;4.405.288.461.538.460;76.47
07/09/1966;1;2,8;11.4;22,3;19.6;17,7;87.5;84.0;1;48.422.330.097.087.300;79.93
08/09/1966;1,2;7,8;5.1;22,6;18.9;16,9;74.8;68.0;3,3;19.169.849.246.231.100;77.81
09/09/1966;2,2;9,7;0.0;20,6;16.5;14,2;73.8;58.0;2;0.0;76.1
10/09/1966;1,7;0,3;0.0;21,1;17.1;14,8;88.0;81.0;0,7;0.0;76.1
11/09/1966;0,6;0;28.9;16,5;15.1;13,8;94.5;86.0;2;16.963.043.478.260.800;85.8
12/09/1966;0,6;0,1;23.3;18,3;17.0;15,6;93.5;90.0;0;12.103.055.555.555.500;83.92
13/09/1966;0,4;3,1;0.0;20,6;17.7;15,9;87.0;76.0;1,3;0.0;76.1
14/09/1966;1,5;0;0.0;20,1;18.2;16,7;94.5;90.0;0;0.0;76.1
15/09/1966;0,6;0,1;1.3;18,6;16.2;15,2;83.0;76.0;1;6.273.255.813.953.480;76.54
16/09/1966;1,3;9,6;0.0;17,8;13.8;12,2;65.3;43.0;2,3;0.0;76.1
17/09/1966;2,5;9,5;0.0;13,8;9.6;6,1;61.0;48.0;1;0.0;76.1
18/09/1966;2,1;7,5;0.0;15,5;10.9;8,4;73.5;54.0;1;0.0;76.1
19/09/1966;1,4;6;0.0;18,6;13.7;7,8;75.5;55.0;2,3;0.0;76.1
20/09/1966;1,6;2,3;0.0;20,7;14.1;12,2;81.8;67.0;1,7;0.0;76.1
21/09/1966;1,5;2,5;0.9;17,2;12.4;9,6;78.0;58.0;3;52.388.059.701.492.500;76.4
22/09/1966;1,1;9,3;3.6;16,7;12.8;9,8;72.5;53.0;1;18.913.043.478.260.800;77.31
23/09/1966;1,7;8,8;0.0;17,8;12.4;7;76.3;58.0;1;0.0;76.1
24/09/1966;1,7;9,9;0.0;23,7;15.3;8,2;70.5;48.0;0,3;0.0;76.1
25/09/1966;1,9;7,8;0.0;25,8;16.8;10,2;72.3;48.0;1,7;0.0;76.1
26/09/1966;2,5;4,1;0.0;18;14.9;12,5;78.5;67.0;2;0.0;76.1
27/09/1966;1,3;8,1;0.1;20,1;16.1;12,4;71.3;62.0;5;0.41695906432748536;76.14
28/09/1966;2,5;9,9;0.0;25,5;19.3;14;64.0;47.0;3,3;0.0;76.1
29/09/1966;2,7;9,8;0.0;27,3;20.5;12,8;68.5;52.0;0,7;0.0;76.1
30/09/1966;2,5;9,9;0.0;31,3;23.4;16,1;57.0;44.0;1,3;0.0;76.1
01/10/1966;3,8;0,2;11.8;24;20.8;19,2;86.5;59.0;1;46.821.100.917.431.100;80.06
02/10/1966;0,8;0,9;0.2;19,8;18.5;16,1;95.3;87.0;0;0.9774358974358973;76.17
03/10/1966;0,2;3,2;9.0;20,8;17.4;15,8;91.8;77.0;0,3;4.490.217.391.304.340;79.12
04/10/1966;1,3;10,3;1.9;20,8;17.0;13,8;70.3;55.0;3;7.420.555.555.555.550;76.74
05/10/1966;2,8;3,1;0.0;21,5;17.8;15,9;77.8;68.0;4;0.0;76.1
06/10/1966;2,5;0;0.0;17,6;16.6;15,6;89.5;82.0;4,3;0.0;76.1
07/10/1966;0,7;8,5;0.0;26,4;20.6;16,4;78.0;67.0;0,3;0.0;76.1
08/10/1966;1,7;9,5;0.0;25,9;19.9;17,4;79.8;59.0;0,7;0.0;76.1
09/10/1966;1,9;5,3;0.0;22,8;18.4;16,7;77.5;66.0;1,7;0.0;76.1
10/10/1966;1,5;10,2;0.0;28;20.4;14,6;74.3;58.0;0;0.0;76.1
11/10/1966;2;2,4;0.0;28;21.7;16,7;83.8;62.0;0,7;0.0;76.1
12/10/1966;1,7;0,1;10.4;20,3;17.2;16;81.3;82.0;2,7;46.457.142.857.142.800;79.59
13/10/1966;1,8;7,8;0.0;25,8;19.3;15;78.8;61.0;2;0.0;76.1
14/10/1966;1,7;10,6;6.2;29,2;22.7;16,9;79.8;70.0;1;2.087.594.936.708.860;78.18
15/10/1966;1,6;0;2.5;23,4;19.0;17,4;85.0;80.0;3,3;10.625;76.94
16/10/1966;1,7;5,4;12.7;20,8;17.4;15,8;70.5;61.0;4,3;4.866.032.608.695.650;80.36
17/10/1966;2,5;3,9;0.0;23,1;18.4;15;79.0;66.0;1,7;0.0;76.1
18/10/1966;1,5;10;0.0;25,5;18.9;16,4;70.8;64.0;2,7;0.0;76.1
19/10/1966;3;10;0.0;19,2;13.9;9,2;59.0;50.0;2,3;0.0;76.1
20/10/1966;2,3;11,2;0.0;19,5;14.2;9,5;67.0;46.0;1,3;0.0;76.1
21/10/1966;2,6;8,2;0.0;25,5;18.3;12;68.8;55.0;2,7;0.0;76.1
22/10/1966;2;0;3.3;18,5;17.6;16,2;95.3;77.0;0,7;16.908.064.516.129.000;77.21
23/10/1966;0,4;8,3;26.4;21,8;18.2;15,4;69.8;52.0;4,7;95.975;84.96
24/10/1966;2,7;11,2;1.7;26,8;20.9;13,2;53.5;38.0;3,3;4.152.968.036.529.680;76.67
25/10/1966;4,3;11,1;0.0;30,9;22.6;13,7;47.0;38.0;2;0.0;76.1
26/10/1966;4,5;4,5;0.0;31,5;22.5;17,8;84.0;43.0;4;0.0;76.1
27/10/1966;2,3;6,6;49.1;21,2;16.9;13,4;66.8;56.0;0,7;18.323.351.955.307.200;92.58
28/10/1966;2,4;10;0.0;20,2;15.7;12;58.5;46.0;2,3;0.0;76.1
29/10/1966;3,1;10,7;0.0;21,2;16.8;12;57.5;42.0;3;0.0;76.1
30/10/1966;3,7;10,6;0.0;23,8;18.5;12,8;65.8;52.0;3,7;0.0;76.1
31/10/1966;2,9;10;0.0;24,6;19.8;16,2;68.0;54.0;0,7;0.0;76.1
01/11/1966;2,8;10,5;0.0;25,4;19.4;14,5;67.5;53.0;1,7;0.0;76.1
02/11/1966;2,4;10,8;0.0;27,2;20.7;15,4;67.3;51.0;1;0.0;76.1
03/11/1966;3,2;10,6;0.0;29,2;21.8;16,6;67.8;52.0;1;0.0;76.1
04/11/1966;2,8;10,8;0.0;29;21.8;16,4;66.5;50.0;1,7;0.0;76.1
05/11/1966;3,3;9,5;0.0;30,7;23.0;16,5;69.0;49.0;0,7;0.0;76.1
06/11/1966;2,5;10,3;0.0;34,6;27.1;18,6;55.3;38.0;1,3;0.0;76.1
07/11/1966;3,5;0;0.5;29,2;23.3;21,6;85.0;57.0;0;17.489.711.934.156.300;76.27
08/11/1966;2,2;0,9;1.8;24;21.4;20,5;89.3;83.0;1,7;7.175.892.857.142.850;76.71
09/11/1966;1,3;0,1;0.7;23,6;21.1;19,8;89.3;86.0;3,7;2.828.506.787.330.310;76.34
10/11/1966;1;1,2;3.1;25;22.5;20;85.5;87.0;1;1.127.872.340.425.530;77.14
11/11/1966;1,2;0;1.0;23,2;20.9;19,8;94.8;81.0;0,7;4.328.767.123.287.670;76.44
12/11/1966;0,7;4,6;18.2;22;18.8;17,2;67.3;60.0;2;61.861.616.161.616.100;82.21
13/11/1966;2;0,5;0.0;20,6;18.0;15,6;74.8;68.0;2;0.0;76.1
14/11/1966;2,5;10,8;0.0;28,1;21.6;15,8;71.3;57.0;1,7;0.0;76.1
15/11/1966;1,9;8,7;0.0;30,4;22.8;17;72.5;53.0;1,3;0.0;76.1
16/11/1966;2,1;0,7;5.4;21,7;18.6;16,8;90.8;84.0;2,7;25.016.326.530.612.200;77.91
17/11/1966;0,9;10,8;3.8;25;20.0;15,1;57.5;42.0;1,3;10.404.761.904.761.900;77.38
18/11/1966;3;3,5;0.0;20,6;16.9;15,6;69.0;60.0;2,7;0.0;76.1
19/11/1966;1,9;10,9;0.3;23,7;17.1;9,2;58.3;41.0;2,7;0.9662983425414363;76.2
20/11/1966;2,7;10,6;0.0;27,1;20.1;13;72.0;56.0;2,7;0.0;76.1
21/11/1966;2,3;9,1;0.0;25,1;21.2;18,6;72.5;61.0;6,7;0.0;76.1
22/11/1966;2,6;10,9;0.0;26,9;21.5;17,8;70.8;55.0;3;0.0;76.1
23/11/1966;2,8;10,8;0.0;30;23.0;18,2;64.5;51.0;0,7;0.0;76.1
24/11/1966;2,7;10,1;0.0;31,1;23.3;17,4;62.3;38.0;1,7;0.0;76.1
25/11/1966;3,2;10,7;0.0;29,2;22.7;18,6;74.0;54.0;2,7;0.0;76.1
26/11/1966;2,5;10,1;0.0;30,2;23.1;17,4;67.8;53.0;1,3;0.0;76.1
27/11/1966;2,7;10,1;0.0;29,8;23.6;19,9;71.3;61.0;2;0.0;76.1
28/11/1966;2,6;11;0.0;32,2;25.0;19,4;67.3;50.0;0,7;0.0;76.1
29/11/1966;3;7,1;0.0;34,4;25.7;21,6;73.8;45.0;0,7;0.0;76.1
30/11/1966;2,9;5,3;15.4;32;26.8;22,7;68.5;58.0;1,7;3.794.604.316.546.760;81.27
01/12/1966;3,1;8,9;0.1;27,6;22.9;21;70.5;53.0;1,3;0.29497907949790797;76.14
02/12/1966;2,9;2,8;0.0;30,8;26.2;21;71.3;57.0;0,3;0.0;76.1
03/12/1966;2,2;5,8;10.9;29,4;25.5;21,2;80.8;73.0;1;33.234.716.981.132.000;79.76
04/12/1966;2,1;4,8;0.3;33,5;24.8;21,3;81.0;56.0;1,7;0.9418604651162791;76.2
05/12/1966;1,8;9,4;31.0;26;21.6;19,9;60.0;50.0;1,3;8.230.088.495.575.220;86.51
06/12/1966;3,2;11;0.0;31,2;24.5;16,7;67.3;56.0;0,7;0.0;76.1
07/12/1966;2,4;6;84.9;27,8;23.1;19,8;85.0;73.0;1,3;2.994.398.340.248.960;104.59
08/12/1966;1;7,7;0.8;31,7;24.5;18;73.8;51.0;1,7;2.315.294.117.647.050;76.37
09/12/1966;2,1;4;0.0;31,9;24.8;21;82.8;68.0;2;0.0;76.1
10/12/1966;2,6;5,2;9.3;28;24.6;21,5;79.5;70.0;1,7;28.880.859.375;79.22
11/12/1966;1,6;8,1;0.0;36,1;26.2;21,8;78.0;53.0;0,7;0.0;76.1
12/12/1966;2;0,3;38.4;24,9;23.4;22,2;90.8;82.0;0,3;14.289.836.065.573.700;88.99
13/12/1966;0,5;10,2;4.6;28,2;24.3;22,4;80.8;69.0;6;14.690.909.090.909.000;77.65
14/12/1966;2,2;8,6;0.0;34,2;27.3;22,6;73.8;54.0;0,3;0.0;76.1
15/12/1966;2,5;7,4;19.2;26,6;22.2;19,4;72.0;59.0;1,7;5.958.620.689.655.170;82.55
16/12/1966;2,1;11,8;0.1;26,6;21.5;16,4;67.0;59.0;1,7;0.2977777777777778;76.14
17/12/1966;2,5;7,7;0.0;27,7;22.6;18,4;76.0;65.0;2,3;0.0;76.1
18/12/1966;2,3;8,6;0.0;31,4;25.4;21,3;78.3;62.0;0,7;0.0;76.1
19/12/1966;1,9;2,2;19.8;26,7;23.4;21,7;85.3;81.0;0,7;692.188.524.590.164;82.75
20/12/1966;1;10,4;2.1;25,8;21.9;19;68.3;63.0;1;6.263.318.777.292.570;76.81
21/12/1966;2;11,3;0.9;25,9;21.8;18;67.8;54.0;1;2.676.315.789.473.680;76.4
22/12/1966;2,4;11,3;0.0;27,6;21.8;16,2;64.8;38.0;2,3;0.0;76.1
23/12/1966;3,2;8,3;0.9;24,2;20.5;18,6;64.5;49.0;2,7;2.7;76.4
24/12/1966;2,8;11,6;0.0;24,3;20.2;16,5;55.8;41.0;1;0.0;76.1
25/12/1966;3,3;11,5;0.0;24,4;19.9;14,5;53.8;41.0;2,3;0.0;76.1
26/12/1966;3,5;4,2;0.0;25,7;21.0;17,2;72.0;59.0;2;0.0;76.1
27/12/1966;2;5,8;0.9;24,2;20.9;18,9;74.5;63.0;3,3;30.616.438.356.164.300;76.4
28/12/1966;2,3;11,8;0.0;27;22.4;18,2;76.5;63.0;2;0.0;76.1
29/12/1966;2,1;9;0.0;29,3;23.7;19;74.3;60.0;1;0.0;76.1
30/12/1966;2;7,6;0.0;29,6;24.1;20,3;75.5;54.0;1,3;0.0;76.1
31/12/1966;2,5;3,6;0.0;27,1;23.6;21,1;74.5;65.0;2,7;0.0;76.1
01/01/1967;2,6;5,2;0.0;28,7;23.2;21;80.8;65.0;2;0.0;76.1
02/01/1967;1,7;8,8;25.1;30,1;24.9;20,1;74.0;63.0;0,3;7.171.428.571.428.570;84.53
03/01/1967;1,8;3,6;0.0;29,7;24.1;21,5;85.3;73.0;1;0.0;76.1
04/01/1967;1,1;7,6;26.7;26,4;22.2;20,4;81.0;58.0;0,7;9.321.982.758.620.680;85.06
05/01/1967;1,6;10,8;2.8;29,2;23.4;19,2;65.5;54.0;0,3;7.516.393.442.622.950;77.04
06/01/1967;2,4;10,5;0.0;30,3;23.9;18,3;69.8;57.0;1;0.0;76.1
07/01/1967;2,7;9,6;0.0;33,3;25.8;20,2;65.0;50.0;0,7;0.0;76.1
08/01/1967;2,9;5,5;2.3;31,2;25.0;22;84.5;65.0;0,3;7.475;76.87
09/01/1967;1,8;8,4;12.6;29,1;24.3;20,4;75.8;79.0;0,7;37.750.197.628.458.400;80.33
10/01/1967;1,9;10,9;7.8;31,1;24.8;19,3;60.5;42.0;1;18.290.697.674.418.600;78.72
11/01/1967;2,9;10,9;0.0;32,1;25.3;18,8;52.8;45.0;1;0.0;76.1
12/01/1967;4,1;10,8;0.0;32,6;25.3;19;63.5;49.0;0,7;0.0;76.1
13/01/1967;3,3;8;0.0;32,7;26.2;20,1;69.3;53.0;0,7;0.0;76.1
14/01/1967;2,8;7,2;0.0;30,2;25.6;22;76.0;59.0;0,3;0.0;76.1
15/01/1967;1,9;8,5;0.3;30,2;25.5;22,3;66.8;47.0;0,7;0.7562264150943396;76.2
16/01/1967;2,4;7,5;0.0;31,2;25.4;20,5;71.0;48.0;1;0.0;76.1
17/01/1967;2,4;10,6;0.0;35,4;27.4;21;54.0;39.0;1,3;0.0;76.1
18/01/1967;4,8;5,9;0.0;34,7;25.2;21,2;73.8;57.0;2,3;0.0;76.1
19/01/1967;3,3;10,8;1.0;28;22.1;16,8;61.3;44.0;1,7;26.536.796.536.796.500;76.44
20/01/1967;3,4;8,4;0.0;32,2;23.7;18,8;74.3;48.0;0,7;0.0;76.1
21/01/1967;2,2;0;50.9;22,1;21.3;20,4;78.8;75.0;1,3;17.986.188.340.807.100;93.18
22/01/1967;1,2;10,6;5.0;23,9;20.3;17;63.8;50.0;1,7;14.976.525.821.596.200;77.78
23/01/1967;2,6;0,8;0.0;23,5;21.0;16,9;65.8;59.0;1;0.0;76.1
24/01/1967;2,6;3,2;0.0;26,4;22.5;19,7;71.0;63.0;1;0.0;76.1
25/01/1967;2,3;8,9;0.0;30,8;25.0;20,7;72.8;57.0;0,7;0.0;76.1
26/01/1967;2,4;8,4;0.0;29,9;25.3;20,8;78.3;67.0;0,7;0.0;76.1
27/01/1967;2,1;7,4;0.1;28,5;23.6;20,6;79.5;61.0;1;0.3231707317073171;76.14
28/01/1967;2,4;8,6;0.0;27,3;23.7;20,9;73.5;68.0;1,7;0.0;76.1
29/01/1967;2,7;5,4;0.2;26,8;22.7;19,8;69.5;55.0;1,7;0.5864978902953587;76.17
30/01/1967;2,5;10,7;0.0;30,2;23.7;17,8;70.5;49.0;1;0.0;76.1
31/01/1967;3;10,7;0.0;33,2;26.3;20,5;65.3;50.0;1;0.0;76.1
01/02/1967;3,1;10,4;0.0;34,4;27.2;21;67.8;56.0;0,3;0.0;76.1
02/02/1967;2,8;4,2;0.0;27,9;24.0;21,8;80.5;69.0;1;0.0;76.1
03/02/1967;2,2;4,6;0.9;26;22.0;19,3;68.0;60.0;1,7;26.608.695.652.173.900;76.4
04/02/1967;3;10,1;0.0;28;22.5;17,2;63.3;48.0;2;0.0;76.1
05/02/1967;3,5;9,6;0.0;31,4;24.6;20,7;71.0;56.0;0,7;0.0;76.1
06/02/1967;2,8;6,8;0.0;32,6;26.6;21;67.8;56.0;0;0.0;76.1
07/02/1967;2,5;9,2;0.0;35,4;26.9;21,7;73.3;51.0;0,7;0.0;76.1
08/02/1967;2,7;4,1;1.4;28,6;25.4;22,4;80.3;69.0;0,7;4.258.333.333.333.330;76.57
09/02/1967;1,3;7,2;10.1;28,6;24.6;21,4;87.5;83.0;1,7;34.521.484.375;79.49
10/02/1967;1,9;8,3;21.9;28,9;25.0;23,1;77.8;68.0;1,7;6.553.153.846.153.840;83.45
11/02/1967;2,6;5,3;0.0;28,2;24.7;22,7;81.3;73.0;3;0.0;76.1
12/02/1967;1,9;7,7;0.0;30,7;25.8;22,9;74.3;63.0;2,3;0.0;76.1
13/02/1967;2,7;0,6;0.1;29,8;24.8;23,2;83.0;67.0;1;0.32170542635658916;76.14
14/02/1967;1,7;9,3;9.9;27,2;23.2;21,6;75.0;63.0;1,3;30.681.818.181.818.100;79.42
15/02/1967;2,2;9,8;1.0;27;21.9;18,4;70.0;52.0;1;3.056.768.558.951.960;76.44
16/02/1967;2,1;5,9;0.0;29,8;23.9;17,8;69.5;59.0;0,3;0.0;76.1
17/02/1967;2,2;3,4;2.5;25,2;20.0;17,5;73.5;65.0;1;8.75;76.94
18/02/1967;1,8;11,1;0.1;26,4;20.2;13,2;59.8;44.0;1,3;0.28207547169811326;76.14
19/02/1967;3,5;10,4;0.0;29,2;22.8;18;67.8;55.0;2,3;0.0;76.1
20/02/1967;2,8;8,6;0.0;30;23.8;18,6;66.3;53.0;2,3;0.0;76.1
21/02/1967;3;2,9;3.5;27,1;22.7;20;87.5;72.0;1,7;12.921.940.928.270.000;77.28
22/02/1967;1;6,3;1.7;28,4;24.1;20,9;78.8;67.0;1;5.337.051.792.828.680;76.67
23/02/1967;1,6;8,1;0.0;31,2;24.7;20;80.5;66.0;1;0.0;76.1
24/02/1967;1,7;9,1;0.0;34,3;26.2;22,3;78.0;51.0;1,3;0.0;76.1
25/02/1967;2,8;1,4;4.2;24,4;21.8;20,9;73.3;67.0;1;1.350.263.157.894.730;77.51
26/02/1967;2;8,1;0.0;26,7;21.8;16,2;64.3;52.0;2,3;0.0;76.1
27/02/1967;3,6;1,3;0.0;26,1;23.0;20,8;87.0;65.0;0,3;0.0;76.1
